Variable,Protein,Protein_meaning,Protein_panel
aldh3a1,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",Inflammation
aldh5a1,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",Neurology_II
alms1,ALMS1,Alstrom syndrome protein 1,Oncology_II
alpi,ALPI,Intestinal-type alkaline phosphatase,Inflammation_II
alpp,ALPP,"Alkaline phosphatase, placental type",Oncology
ambn,AMBN,Ameloblastin,Inflammation
ambp,AMBP,Protein AMBP,Oncology
amdhd2,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,Cardiometabolic_II
amfr,AMFR,E3 ubiquitin-protein ligase AMFR,Neurology
amigo1,AMIGO1,Amphoterin-induced protein 1,Neurology_II
amigo2,AMIGO2,Amphoterin-induced protein 2,Oncology
amn,AMN,Protein amnionless,Inflammation
amot,AMOT,Angiomotin,Inflammation_II
amotl2,AMOTL2,Angiomotin-like protein 2,Oncology_II
ampd3,AMPD3,AMP deaminase 3,Neurology_II
amy1a_amy1b_amy1c,AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,Inflammation_II
amy2a,AMY2A,Pancreatic alpha-amylase,Cardiometabolic
amy2b,AMY2B,Alpha-amylase 2B,Cardiometabolic
ang,ANG,Angiogenin,Cardiometabolic
angpt1,ANGPT1,Angiopoietin-1,Inflammation
angpt2,ANGPT2,Angiopoietin-2,Oncology
angptl1,ANGPTL1,Angiopoietin-related protein 1,Cardiometabolic
angptl2,ANGPTL2,Angiopoietin-related protein 2,Inflammation
angptl3,ANGPTL3,Angiopoietin-related protein 3,Cardiometabolic
angptl4,ANGPTL4,Angiopoietin-related protein 4,Inflammation
angptl7,ANGPTL7,Angiopoietin-related protein 7,Oncology
ank2,ANK2,Ankyrin-2,Cardiometabolic_II
ankmy2,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,Inflammation_II
ankra2,ANKRA2,Ankyrin repeat family A protein 2,Oncology_II
ankrd54,ANKRD54,Ankyrin repeat domain-containing protein 54,Oncology
anp32c,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,Cardiometabolic_II
anpep,ANPEP,Aminopeptidase N,Cardiometabolic
anxa1,ANXA1,Annexin A1,Inflammation_II
anxa10,ANXA10,Annexin A10,Neurology
anxa11,ANXA11,Annexin A11,Inflammation
anxa2,ANXA2,Annexin A2,Cardiometabolic_II
anxa3,ANXA3,Annexin A3,Neurology
anxa4,ANXA4,Annexin A4,Cardiometabolic
anxa5,ANXA5,Annexin A5,Neurology
aoc1,AOC1,Amiloride-sensitive amine oxidase [copper-containing],Inflammation
aoc3,AOC3,Membrane primary amine oxidase,Cardiometabolic
ap1g2,AP1G2,AP-1 complex subunit gamma-like 2,Oncology_II
ap2b1,AP2B1,AP-2 complex subunit beta,Neurology_II
ap3b1,AP3B1,AP-3 complex subunit beta-1,Oncology_II
ap3s2,AP3S2,AP-3 complex subunit sigma-2,Neurology_II
apbb1ip,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,Oncology
apcs,APCS,Serum amyloid P-component,Inflammation_II
apex1,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,Oncology
aplp1,APLP1,Amyloid-like protein 1,Cardiometabolic
apoa1,APOA1,Apolipoprotein A-I,Inflammation_II
apoa2,APOA2,Apolipoprotein A-II,Inflammation_II
apoa4,APOA4,Apolipoprotein A-IV,Inflammation_II
apob,APOB,Apolipoprotein B-100,Inflammation_II
apobr,APOBR,Apolipoprotein B receptor,Cardiometabolic_II
apoc1,APOC1,Apolipoprotein C-I,Inflammation_II
apod,APOD,Apolipoprotein D,Inflammation_II
apoe,APOE,Apolipoprotein E,Inflammation_II
apof,APOF,Apolipoprotein F,Inflammation_II
apoh,APOH,Beta-2-glycoprotein 1,Neurology
apol1,APOL1,Apolipoprotein L1,Inflammation_II
apom,APOM,Apolipoprotein M,Cardiometabolic
app,APP,Amyloid-beta precursor protein,Neurology
appl2,APPL2,DCC-interacting protein 13-beta,Inflammation_II
aprt,APRT,Adenine phosphoribosyltransferase,Neurology
araf,ARAF,Serine/threonine-protein kinase A-Raf,Oncology_II
areg,AREG,Amphiregulin,Oncology
arf6,ARF6,ADP-ribosylation factor 6,Oncology_II
arfip1,ARFIP1,Arfaptin-1,Neurology_II
arg1,ARG1,Arginase-1,Oncology
arg2,ARG2,"Arginase-2, mitochondrial",Oncology_II
arhgap1,ARHGAP1,Rho GTPase-activating protein 1,Oncology
arhgap25,ARHGAP25,Rho GTPase-activating protein 25,Oncology
arhgap30,ARHGAP30,Rho GTPase-activating protein 30,Oncology_II
arhgap45,ARHGAP45,Rho GTPase-activating protein 45,Inflammation_II
arhgap5,ARHGAP5,Rho GTPase-activating protein 5,Oncology_II
arhgef1,ARHGEF1,Rho guanine nucleotide exchange factor 1,Neurology_II
arhgef10,ARHGEF10,Rho guanine nucleotide exchange factor 10,Neurology_II
arhgef12,ARHGEF12,Rho guanine nucleotide exchange factor 12,Inflammation
arhgef5,ARHGEF5,Rho guanine nucleotide exchange factor 5,Neurology_II
arid3a,ARID3A,AT-rich interactive domain-containing protein 3A,Neurology_II
arid4b,ARID4B,AT-rich interactive domain-containing protein 4B,Neurology
arl13b,ARL13B,ADP-ribosylation factor-like protein 13B,Cardiometabolic_II
arl2bp,ARL2BP,ADP-ribosylation factor-like protein 2-binding protein,Cardiometabolic_II
armcx2,ARMCX2,Armadillo repeat-containing X-linked protein 2,Neurology_II
arnt,ARNT,Aryl hydrocarbon receptor nuclear translocator,Inflammation
arntl,ARNTL,Aryl hydrocarbon receptor nuclear translocator-like protein 1,Cardiometabolic_II
arsa,ARSA,Arylsulfatase A,Neurology
arsb,ARSB,Arylsulfatase B,Oncology
art3,ART3,Ecto-ADP-ribosyltransferase 3,Cardiometabolic
art5,ART5,Ecto-ADP-ribosyltransferase 5,Neurology_II
artn,ARTN,Artemin,Inflammation
asah1,ASAH1,Acid ceramidase,Cardiometabolic_II
asah2,ASAH2,Neutral ceramidase,Neurology
asgr1,ASGR1,Asialoglycoprotein receptor 1,Neurology
asgr2,ASGR2,Asialoglycoprotein receptor 2,Inflammation_II
aspn,ASPN,Asporin,Cardiometabolic_II
aspscr1,ASPSCR1,Tether containing UBX domain for GLUT4,Neurology_II
asrgl1,ASRGL1,Isoaspartyl peptidase/L-asparaginase,Cardiometabolic_II
ass1,ASS1,Argininosuccinate synthase,Cardiometabolic_II
atf2,ATF2,Cyclic AMP-dependent transcription factor ATF-2,Neurology
atf4,ATF4,Cyclic AMP-dependent transcription factor ATF-4,Oncology_II
atg16l1,ATG16L1,Autophagy-related protein 16-1,Oncology_II
atg4a,ATG4A,Cysteine protease ATG4A,Oncology
atox1,ATOX1,Copper transport protein ATOX1,Oncology
atp1b1,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,Cardiometabolic_II
atp1b2,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,Cardiometabolic_II
atp1b3,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,Cardiometabolic_II
atp1b4,ATP1B4,Protein ATP1B4,Oncology_II
atp2b4,ATP2B4,Plasma membrane calcium-transporting ATPase 4,Cardiometabolic_II
atp5f1d,ATP5F1D,"ATP synthase subunit delta, mitochondrial",Cardiometabolic_II
atp5if1,ATP5IF1,"ATPase inhibitor, mitochondrial",Inflammation
atp5po,ATP5PO,"ATP synthase subunit O, mitochondrial",Neurology
atp6ap2,ATP6AP2,Renin receptor,Oncology
atp6v1d,ATP6V1D,V-type proton ATPase subunit D,Oncology
atp6v1f,ATP6V1F,V-type proton ATPase subunit F,Neurology
atp6v1g1,ATP6V1G1,V-type proton ATPase subunit G 1,Cardiometabolic_II
atp6v1g2,ATP6V1G2,V-type proton ATPase subunit G 2,Cardiometabolic_II
atraid,ATRAID,All-trans retinoic acid-induced differentiation factor,Oncology_II
atrn,ATRN,"Attractin, Isoform 2",Inflammation_II
atxn10,ATXN10,Ataxin-10,Neurology
atxn2,ATXN2,Ataxin-2,Neurology_II
atxn2l,ATXN2L,Ataxin-2-like protein,Neurology_II
atxn3,ATXN3,Ataxin-3,Neurology_II
axin1,AXIN1,Axin-1,Inflammation
axl,AXL,Tyrosine-protein kinase receptor UFO,Cardiometabolic
azi2,AZI2,5-azacytidine-induced protein 2,Neurology_II
azu1,AZU1,Azurocidin,Cardiometabolic
b2m,B2M,Beta-2-microglobulin,Inflammation_II
b3gat3,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,Cardiometabolic_II
b3gnt7,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",Cardiometabolic_II
b4galt1,B4GALT1,"Beta-1,4-galactosyltransferase 1",Inflammation
b4gat1,B4GAT1,"Beta-1,4-glucuronyltransferase 1",Neurology
babam1,BABAM1,BRISC and BRCA1-A complex member 1,Inflammation_II
bach1,BACH1,Transcription regulator protein BACH1,Inflammation
bag3,BAG3,BAG family molecular chaperone regulator 3,Neurology
bag4,BAG4,BAG family molecular chaperone regulator 4,Inflammation_II
bag6,BAG6,Large proline-rich protein BAG6,Cardiometabolic
baiap2,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,Oncology
bambi,BAMBI,BMP and activin membrane-bound inhibitor homolog,Oncology
bank1,BANK1,B-cell scaffold protein with ankyrin repeats,Inflammation
bap18,BAP18,Chromatin complexes subunit BAP18,Neurology_II
batf,BATF,Basic leucine zipper transcriptional factor ATF-like,Neurology_II
bax,BAX,Apoptosis regulator BAX,Neurology
bcam,BCAM,Basal cell adhesion molecule,Neurology
bcan,BCAN,Brevican core protein,Neurology
bcat1,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",Cardiometabolic_II
bcat2,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",Neurology_II
bche,BCHE,Cholinesterase,Inflammation_II
bcl2,BCL2,Apoptosis regulator Bcl-2,Oncology_II
bcl2l1,BCL2L1,Bcl-2-like protein 1,Neurology_II
bcl2l11,BCL2L11,"Bcl-2-like protein 11, Isoform BimL",Inflammation
bcl2l15,BCL2L15,Bcl-2-like protein 15,Inflammation_II
bcl7a,BCL7A,B-cell CLL/lymphoma 7 protein family member A,Oncology_II
bcl7b,BCL7B,B-cell CLL/lymphoma 7 protein family member B,Oncology_II
bcr,BCR,Breakpoint cluster region protein,Inflammation
bdnf,BDNF,Brain-derived neurotrophic factor,Cardiometabolic_II
becn1,BECN1,Beclin-1,Cardiometabolic_II
bex3,BEX3,Protein BEX3,Oncology_II
bglap,BGLAP,Osteocalcin,Cardiometabolic_II
bgn,BGN,Biglycan,Oncology
bhlhe40,BHLHE40,Class E basic helix-loop-helix protein 40,Neurology_II
bhmt2,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Cardiometabolic_II
bid,BID,BH3-interacting domain death agonist,Inflammation
bin2,BIN2,Bridging integrator 2,Neurology
birc2,BIRC2,Baculoviral IAP repeat-containing protein 2,Oncology
blmh,BLMH,Bleomycin hydrolase,Cardiometabolic
blnk,BLNK,B-cell linker protein,Inflammation_II
bloc1s2,BLOC1S2,Biogenesis of lysosome-related organelles complex 1 subunit 2,Neurology_II
bloc1s3,BLOC1S3,Biogenesis of lysosome-related organelles complex 1 subunit 3,Neurology_II
blvrb,BLVRB,Flavin reductase,Neurology
bmp10,BMP10,Bone morphogenetic protein 10,Inflammation_II
bmp4,BMP4,Bone morphogenetic protein 4,Neurology
bmp6,BMP6,Bone morphogenetic protein 6,Cardiometabolic
bmper,BMPER,BMP-binding endothelial regulator protein,Inflammation_II
bnip2,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,Cardiometabolic_II
bnip3l,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,Inflammation_II
boc,BOC,Brother of CDO,Cardiometabolic
bola1,BOLA1,BolA-like protein 1,Neurology_II
bola2_bola2b,BOLA2_BOLA2B,BolA-like protein 2,Cardiometabolic_II
bpifa2,BPIFA2,BPI fold-containing family A member 2,Cardiometabolic_II
bpifb1,BPIFB1,BPI fold-containing family B member 1,Cardiometabolic
bpifb2,BPIFB2,BPI fold-containing family B member 2,Cardiometabolic_II
brap,BRAP,BRCA1-associated protein,Oncology_II
brd1,BRD1,Bromodomain-containing protein 1,Oncology_II
brd2,BRD2,Bromodomain-containing protein 2,Neurology_II
brd3,BRD3,Bromodomain-containing protein 3,Cardiometabolic_II
brdt,BRDT,Bromodomain testis-specific protein,Cardiometabolic_II
brk1,BRK1,Protein BRICK1,Neurology
brme1,BRME1,Break repair meiotic recombinase recruitment factor 1,Neurology_II
brsk2,BRSK2,Serine/threonine-protein kinase BRSK2,Neurology_II
bsg,BSG,Basigin,Inflammation
bsnd,BSND,Barttin,Oncology_II
bst1,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Neurology
bst2,BST2,Bone marrow stromal antigen 2,Neurology
btc,BTC,Probetacellulin,Oncology
btd,BTD,Biotinidase,Inflammation_II
btla,BTLA,B- and T-lymphocyte attenuator,Oncology_II
btn1a1,BTN1A1,Butyrophilin subfamily 1 member A1,Oncology_II
btn2a1,BTN2A1,Butyrophilin subfamily 2 member A1,Inflammation
btn3a2,BTN3A2,Butyrophilin subfamily 3 member A2,Inflammation
btnl10,BTNL10,Butyrophilin-like protein 10,Oncology_II
c19orf12,C19orf12,Protein C19orf12,Neurology
c1galt1c1,C1GALT1C1,C1GALT1-specific chaperone 1,Cardiometabolic_II
c1qa,C1QA,Complement C1q subcomponent subunit A,Inflammation
c1qbp,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Neurology_II
c1ql2,C1QL2,Complement C1q-like protein 2,Inflammation_II
c1qtnf1,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,Cardiometabolic
c1qtnf5,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,Inflammation_II
c1qtnf6,C1QTNF6,Complement C1q tumor necrosis factor-related protein 6,Neurology_II
c1qtnf9,C1QTNF9,Complement C1q and tumor necrosis factor-related protein 9A,Inflammation_II
c1r,C1R,Complement C1r subcomponent,Inflammation_II
c1rl,C1RL,Complement C1r subcomponent-like protein,Inflammation_II
c1s,C1S,Complement C1s subcomponent,Inflammation_II
c2,C2,Complement C2,Cardiometabolic
c2cd2l,C2CD2L,Phospholipid transfer protein C2CD2L,Neurology
c2orf69,C2orf69,UPF0565 protein C2orf69,Neurology_II
c3,C3,Complement C3,Inflammation_II
c4bpb,C4BPB,C4b-binding protein beta chain,Oncology
c5,C5,Complement C5,Inflammation_II
c7,C7,Complement component C7,Inflammation_II
c7orf50,C7orf50,Uncharacterized protein C7orf50,Neurology_II
c8b,C8B,Complement component C8 beta chain,Inflammation_II
c9,C9,Complement component C9,Inflammation_II
c9orf40,C9orf40,Uncharacterized protein C9orf40,Oncology_II
ca1,CA1,Carbonic anhydrase 1,Cardiometabolic
ca11,CA11,Carbonic anhydrase-related protein 11,Oncology
ca12,CA12,Carbonic anhydrase 12,Oncology
ca13,CA13,Carbonic anhydrase 13,Cardiometabolic
ca14,CA14,Carbonic anhydrase 14,Oncology
ca2,CA2,Carbonic anhydrase 2,Neurology
ca3,CA3,Carbonic anhydrase 3,Cardiometabolic
ca4,CA4,Carbonic anhydrase 4,Cardiometabolic
ca5a,CA5A,"Carbonic anhydrase 5A, mitochondrial",Cardiometabolic
ca6,CA6,Carbonic anhydrase 6,Neurology
ca7,CA7,Carbonic anhydrase 7,Oncology_II
ca8,CA8,Carbonic anhydrase-related protein,Inflammation_II
ca9,CA9,Carbonic anhydrase 9,Oncology
cabp2,CABP2,Calcium-binding protein 2,Neurology_II
cacna1c,CACNA1C,Voltage-dependent L-type calcium channel subunit alpha-1C,Neurology_II
cacna1h,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,Cardiometabolic_II
cacnb1,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,Neurology_II
cacnb3,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,Neurology_II
cacybp,CACYBP,Calcyclin-binding protein,Inflammation_II
cadps,CADPS,Calcium-dependent secretion activator 1,Neurology_II
calb1,CALB1,Calbindin,Oncology
calb2,CALB2,Calretinin,Neurology
calca,CALCA,Calcitonin,Neurology
calcb,CALCB,Calcitonin gene-related peptide 2,Neurology_II
calcoco1,CALCOCO1,Calcium-binding and coiled-coil domain-containing protein 1,Oncology
calcoco2,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,Cardiometabolic_II
caly,CALY,Neuron-specific vesicular protein calcyon,Cardiometabolic_II
camkk1,CAMKK1,Calcium/calmodulin-dependent protein kinase kinase 1,Oncology
camlg,CAMLG,Guided entry of tail-anchored proteins factor CAMLG,Neurology_II
camsap1,CAMSAP1,Calmodulin-regulated spectrin-associated protein 1,Neurology_II
cant1,CANT1,Soluble calcium-activated nucleotidase 1,Cardiometabolic
capg,CAPG,Macrophage-capping protein,Oncology
capn3,CAPN3,Calpain-3,Oncology_II
caps,CAPS,Calcyphosin,Neurology_II
carhsp1,CARHSP1,Calcium-regulated heat-stable protein 1,Neurology
casc3,CASC3,Protein CASC3,Neurology_II
casp1,CASP1,Caspase-1,Neurology
casp10,CASP10,Caspase-10,Neurology
casp2,CASP2,Caspase-2,Inflammation
casp3,CASP3,Caspase-3,Cardiometabolic
casp4,CASP4,Caspase-4,Oncology_II
casp7,CASP7,Caspase-7,Neurology_II
casp8,CASP8,Caspase-8,Oncology
casp9,CASP9,Caspase-9,Inflammation_II
casq2,CASQ2,Calsequestrin-2,Cardiometabolic_II
cat,CAT,Catalase,Inflammation_II
cblif,CBLIF,Cobalamin binding intrinsic factor,Cardiometabolic
cbln1,CBLN1,Cerebellin-1,Neurology_II
cbln4,CBLN4,Cerebellin-4,Oncology
cbs,CBS,Cystathionine beta-synthase,Cardiometabolic_II
cbx2,CBX2,Chromobox protein homolog 2,Cardiometabolic_II
cc2d1a,CC2D1A,Coiled-coil and C2 domain-containing protein 1A,Neurology
ccar2,CCAR2,Cell cycle and apoptosis regulator protein 2,Neurology_II
ccdc134,CCDC134,Coiled-coil domain-containing protein 134,Oncology_II
ccdc28a,CCDC28A,Coiled-coil domain-containing protein 28A,Neurology_II
ccdc50,CCDC50,Coiled-coil domain-containing protein 50,Neurology_II
ccdc80,CCDC80,Coiled-coil domain-containing protein 80,Cardiometabolic
ccer2,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,Cardiometabolic_II
ccl11,CCL11,Eotaxin,Inflammation
ccl13,CCL13,C-C motif chemokine 13,Inflammation
ccl14,CCL14,C-C motif chemokine 14,Cardiometabolic
ccl15,CCL15,C-C motif chemokine 15,Cardiometabolic
ccl16,CCL16,C-C motif chemokine 16,Cardiometabolic
ccl17,CCL17,C-C motif chemokine 17,Inflammation
ccl18,CCL18,C-C motif chemokine 18,Cardiometabolic
ccl19,CCL19,C-C motif chemokine 19,Neurology
ccl2,CCL2,C-C motif chemokine 2,Neurology
ccl20,CCL20,C-C motif chemokine 20,Inflammation
ccl21,CCL21,C-C motif chemokine 21,Inflammation
ccl22,CCL22,C-C motif chemokine 22,Inflammation
ccl23,CCL23,C-C motif chemokine 23,Inflammation
ccl24,CCL24,C-C motif chemokine 24,Inflammation
ccl25,CCL25,C-C motif chemokine 25,Inflammation
ccl26,CCL26,C-C motif chemokine 26,Inflammation
ccl27,CCL27,C-C motif chemokine 27,Cardiometabolic
ccl28,CCL28,C-C motif chemokine 28,Inflammation
ccl3,CCL3,C-C motif chemokine 3,Inflammation
ccl4,CCL4,C-C motif chemokine 4,Inflammation
ccl5,CCL5,C-C motif chemokine 5,Cardiometabolic
ccl7,CCL7,C-C motif chemokine 7,Inflammation
ccl8,CCL8,C-C motif chemokine 8,Oncology
ccn1,CCN1,CCN family member 1,Oncology
ccn2,CCN2,CCN family member 2,Inflammation
ccn3,CCN3,CCN family member 3,Cardiometabolic
ccn4,CCN4,CCN family member 4,Oncology
ccn5,CCN5,CCN family member 5,Neurology
ccnd2,CCND2,G1/S-specific cyclin-D2,Oncology_II
ccne1,CCNE1,G1/S-specific cyclin-E1,Inflammation_II
ccs,CCS,Copper chaperone for superoxide dismutase,Neurology
cct5,CCT5,T-complex protein 1 subunit epsilon,Oncology
cd101,CD101,Immunoglobulin superfamily member 2,Oncology_II
cd109,CD109,CD109 antigen,Neurology
cd14,CD14,Monocyte differentiation antigen CD14,Cardiometabolic
cd160,CD160,CD160 antigen,Inflammation
cd163,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Cardiometabolic
cd164,CD164,Sialomucin core protein 24,Neurology
cd164l2,CD164L2,CD164 sialomucin-like 2 protein,Neurology_II
cd177,CD177,CD177 antigen,Neurology
