Variable	Protein	Protein_meaning
angptl4	ANGPTL4	Angiopoietin-related protein 4
angptl7	ANGPTL7	Angiopoietin-related protein 7
ank2	ANK2	Ankyrin-2
ankmy2	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2
ankra2	ANKRA2	Ankyrin repeat family A protein 2
ankrd54	ANKRD54	Ankyrin repeat domain-containing protein 54
anp32c	ANP32C	Acidic leucine-rich nuclear phosphoprotein 32 family member C
anpep	ANPEP	Aminopeptidase N
anxa1	ANXA1	Annexin A1
anxa10	ANXA10	Annexin A10
anxa11	ANXA11	Annexin A11
anxa2	ANXA2	Annexin A2
anxa3	ANXA3	Annexin A3
anxa4	ANXA4	Annexin A4
anxa5	ANXA5	Annexin A5
aoc1	AOC1	Amiloride-sensitive amine oxidase [copper-containing]
aoc3	AOC3	Membrane primary amine oxidase
ap1g2	AP1G2	AP-1 complex subunit gamma-like 2
ap2b1	AP2B1	AP-2 complex subunit beta
ap3b1	AP3B1	AP-3 complex subunit beta-1
ap3s2	AP3S2	AP-3 complex subunit sigma-2
apbb1ip	APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
apcs	APCS	Serum amyloid P-component
apex1	APEX1	DNA-(apurinic or apyrimidinic site) endonuclease
aplp1	APLP1	Amyloid-like protein 1
apoa1	APOA1	Apolipoprotein A-I
apoa2	APOA2	Apolipoprotein A-II
apoa4	APOA4	Apolipoprotein A-IV
apob	APOB	Apolipoprotein B-100
apobr	APOBR	Apolipoprotein B receptor
apoc1	APOC1	Apolipoprotein C-I
apod	APOD	Apolipoprotein D
apoe	APOE	Apolipoprotein E
apof	APOF	Apolipoprotein F
apoh	APOH	Beta-2-glycoprotein 1
apol1	APOL1	Apolipoprotein L1
apom	APOM	Apolipoprotein M
app	APP	Amyloid-beta precursor protein
appl2	APPL2	DCC-interacting protein 13-beta
aprt	APRT	Adenine phosphoribosyltransferase
araf	ARAF	Serine/threonine-protein kinase A-Raf
areg	AREG	Amphiregulin
arf6	ARF6	ADP-ribosylation factor 6
arfip1	ARFIP1	Arfaptin-1
arg1	ARG1	Arginase-1
arg2	ARG2	"Arginase-2, mitochondrial"
arhgap1	ARHGAP1	Rho GTPase-activating protein 1
arhgap25	ARHGAP25	Rho GTPase-activating protein 25
arhgap30	ARHGAP30	Rho GTPase-activating protein 30
arhgap45	ARHGAP45	Rho GTPase-activating protein 45
arhgap5	ARHGAP5	Rho GTPase-activating protein 5
arhgef1	ARHGEF1	Rho guanine nucleotide exchange factor 1
arhgef10	ARHGEF10	Rho guanine nucleotide exchange factor 10
arhgef12	ARHGEF12	Rho guanine nucleotide exchange factor 12
arhgef5	ARHGEF5	Rho guanine nucleotide exchange factor 5
arid3a	ARID3A	AT-rich interactive domain-containing protein 3A
arid4b	ARID4B	AT-rich interactive domain-containing protein 4B
arl13b	ARL13B	ADP-ribosylation factor-like protein 13B
arl2bp	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein
armcx2	ARMCX2	Armadillo repeat-containing X-linked protein 2
arnt	ARNT	Aryl hydrocarbon receptor nuclear translocator
arntl	ARNTL	Aryl hydrocarbon receptor nuclear translocator-like protein 1
arsa	ARSA	Arylsulfatase A
arsb	ARSB	Arylsulfatase B
art3	ART3	Ecto-ADP-ribosyltransferase 3
art5	ART5	Ecto-ADP-ribosyltransferase 5
artn	ARTN	Artemin
asah1	ASAH1	Acid ceramidase
asah2	ASAH2	Neutral ceramidase
asgr1	ASGR1	Asialoglycoprotein receptor 1
asgr2	ASGR2	Asialoglycoprotein receptor 2
aspn	ASPN	Asporin
aspscr1	ASPSCR1	Tether containing UBX domain for GLUT4
asrgl1	ASRGL1	Isoaspartyl peptidase/L-asparaginase
ass1	ASS1	Argininosuccinate synthase
atf2	ATF2	Cyclic AMP-dependent transcription factor ATF-2
atf4	ATF4	Cyclic AMP-dependent transcription factor ATF-4
atg16l1	ATG16L1	Autophagy-related protein 16-1
atg4a	ATG4A	Cysteine protease ATG4A
atox1	ATOX1	Copper transport protein ATOX1
atp1b1	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1
atp1b2	ATP1B2	Sodium/potassium-transporting ATPase subunit beta-2
atp1b3	ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3
atp1b4	ATP1B4	Protein ATP1B4
atp2b4	ATP2B4	Plasma membrane calcium-transporting ATPase 4
atp5f1d	ATP5F1D	"ATP synthase subunit delta, mitochondrial"
atp5if1	ATP5IF1	"ATPase inhibitor, mitochondrial"
atp5po	ATP5PO	"ATP synthase subunit O, mitochondrial"
atp6ap2	ATP6AP2	Renin receptor
atp6v1d	ATP6V1D	V-type proton ATPase subunit D
atp6v1f	ATP6V1F	V-type proton ATPase subunit F
atp6v1g1	ATP6V1G1	V-type proton ATPase subunit G 1
atp6v1g2	ATP6V1G2	V-type proton ATPase subunit G 2
atraid	ATRAID	All-trans retinoic acid-induced differentiation factor
atrn	ATRN	"Attractin, Isoform 2"
atxn10	ATXN10	Ataxin-10
atxn2	ATXN2	Ataxin-2
atxn2l	ATXN2L	Ataxin-2-like protein
atxn3	ATXN3	Ataxin-3
axin1	AXIN1	Axin-1
axl	AXL	Tyrosine-protein kinase receptor UFO
azi2	AZI2	5-azacytidine-induced protein 2
azu1	AZU1	Azurocidin
b2m	B2M	Beta-2-microglobulin
b3gat3	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
b3gnt7	B3GNT7	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
b4galt1	B4GALT1	"Beta-1,4-galactosyltransferase 1"
b4gat1	B4GAT1	"Beta-1,4-glucuronyltransferase 1"
babam1	BABAM1	BRISC and BRCA1-A complex member 1
bach1	BACH1	Transcription regulator protein BACH1
bag3	BAG3	BAG family molecular chaperone regulator 3
bag4	BAG4	BAG family molecular chaperone regulator 4
bag6	BAG6	Large proline-rich protein BAG6
baiap2	BAIAP2	Brain-specific angiogenesis inhibitor 1-associated protein 2
bambi	BAMBI	BMP and activin membrane-bound inhibitor homolog
bank1	BANK1	B-cell scaffold protein with ankyrin repeats
bap18	BAP18	Chromatin complexes subunit BAP18
batf	BATF	Basic leucine zipper transcriptional factor ATF-like
bax	BAX	Apoptosis regulator BAX
bcam	BCAM	Basal cell adhesion molecule
bcan	BCAN	Brevican core protein
bcat1	BCAT1	"Branched-chain-amino-acid aminotransferase, cytosolic"
bcat2	BCAT2	"Branched-chain-amino-acid aminotransferase, mitochondrial"
bche	BCHE	Cholinesterase
bcl2	BCL2	Apoptosis regulator Bcl-2
bcl2l1	BCL2L1	Bcl-2-like protein 1
bcl2l11	BCL2L11	"Bcl-2-like protein 11, Isoform BimL"
bcl2l15	BCL2L15	Bcl-2-like protein 15
bcl7a	BCL7A	B-cell CLL/lymphoma 7 protein family member A
bcl7b	BCL7B	B-cell CLL/lymphoma 7 protein family member B
bcr	BCR	Breakpoint cluster region protein
bdnf	BDNF	Brain-derived neurotrophic factor
becn1	BECN1	Beclin-1
bex3	BEX3	Protein BEX3
bglap	BGLAP	Osteocalcin
bgn	BGN	Biglycan
bhlhe40	BHLHE40	Class E basic helix-loop-helix protein 40
bhmt2	BHMT2	S-methylmethionine--homocysteine S-methyltransferase BHMT2
bid	BID	BH3-interacting domain death agonist
bin2	BIN2	Bridging integrator 2
birc2	BIRC2	Baculoviral IAP repeat-containing protein 2
blmh	BLMH	Bleomycin hydrolase
blnk	BLNK	B-cell linker protein
bloc1s2	BLOC1S2	Biogenesis of lysosome-related organelles complex 1 subunit 2
bloc1s3	BLOC1S3	Biogenesis of lysosome-related organelles complex 1 subunit 3
blvrb	BLVRB	Flavin reductase
bmp10	BMP10	Bone morphogenetic protein 10
bmp4	BMP4	Bone morphogenetic protein 4
bmp6	BMP6	Bone morphogenetic protein 6
bmper	BMPER	BMP-binding endothelial regulator protein
bnip2	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2
bnip3l	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
boc	BOC	Brother of CDO
bola1	BOLA1	BolA-like protein 1
bola2_bola2b	BOLA2_BOLA2B	BolA-like protein 2
bpifa2	BPIFA2	BPI fold-containing family A member 2
bpifb1	BPIFB1	BPI fold-containing family B member 1
bpifb2	BPIFB2	BPI fold-containing family B member 2
brap	BRAP	BRCA1-associated protein
brd1	BRD1	Bromodomain-containing protein 1
brd2	BRD2	Bromodomain-containing protein 2
brd3	BRD3	Bromodomain-containing protein 3
brdt	BRDT	Bromodomain testis-specific protein
brk1	BRK1	Protein BRICK1
brme1	BRME1	Break repair meiotic recombinase recruitment factor 1
brsk2	BRSK2	Serine/threonine-protein kinase BRSK2
bsg	BSG	Basigin
bsnd	BSND	Barttin
bst1	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
bst2	BST2	Bone marrow stromal antigen 2
btc	BTC	Probetacellulin
btd	BTD	Biotinidase
btla	BTLA	B- and T-lymphocyte attenuator
btn1a1	BTN1A1	Butyrophilin subfamily 1 member A1
btn2a1	BTN2A1	Butyrophilin subfamily 2 member A1
btn3a2	BTN3A2	Butyrophilin subfamily 3 member A2
btnl10	BTNL10	Butyrophilin-like protein 10
c19orf12	C19orf12	Protein C19orf12
c1galt1c1	C1GALT1C1	C1GALT1-specific chaperone 1
c1qa	C1QA	Complement C1q subcomponent subunit A
c1qbp	C1QBP	"Complement component 1 Q subcomponent-binding protein, mitochondrial"
c1ql2	C1QL2	Complement C1q-like protein 2
c1qtnf1	C1QTNF1	Complement C1q tumor necrosis factor-related protein 1
c1qtnf5	C1QTNF5	Complement C1q tumor necrosis factor-related protein 5
c1qtnf6	C1QTNF6	Complement C1q tumor necrosis factor-related protein 6
c1qtnf9	C1QTNF9	Complement C1q and tumor necrosis factor-related protein 9A
c1r	C1R	Complement C1r subcomponent
c1rl	C1RL	Complement C1r subcomponent-like protein
c1s	C1S	Complement C1s subcomponent
c2	C2	Complement C2
c2cd2l	C2CD2L	Phospholipid transfer protein C2CD2L
c2orf69	C2orf69	UPF0565 protein C2orf69
c3	C3	Complement C3
c4bpb	C4BPB	C4b-binding protein beta chain
c5	C5	Complement C5
c7	C7	Complement component C7
c7orf50	C7orf50	Uncharacterized protein C7orf50
c8b	C8B	Complement component C8 beta chain
c9	C9	Complement component C9
c9orf40	C9orf40	Uncharacterized protein C9orf40
ca1	CA1	Carbonic anhydrase 1
ca11	CA11	Carbonic anhydrase-related protein 11
ca12	CA12	Carbonic anhydrase 12
ca13	CA13	Carbonic anhydrase 13
ca14	CA14	Carbonic anhydrase 14
ca2	CA2	Carbonic anhydrase 2
ca3	CA3	Carbonic anhydrase 3
ca4	CA4	Carbonic anhydrase 4
ca5a	CA5A	"Carbonic anhydrase 5A, mitochondrial"
ca6	CA6	Carbonic anhydrase 6
ca7	CA7	Carbonic anhydrase 7
ca8	CA8	Carbonic anhydrase-related protein
ca9	CA9	Carbonic anhydrase 9
cabp2	CABP2	Calcium-binding protein 2
cacna1c	CACNA1C	Voltage-dependent L-type calcium channel subunit alpha-1C
cacna1h	CACNA1H	Voltage-dependent T-type calcium channel subunit alpha-1H
cacnb1	CACNB1	Voltage-dependent L-type calcium channel subunit beta-1
cacnb3	CACNB3	Voltage-dependent L-type calcium channel subunit beta-3
cacybp	CACYBP	Calcyclin-binding protein
cadps	CADPS	Calcium-dependent secretion activator 1
calb1	CALB1	Calbindin
calb2	CALB2	Calretinin
calca	CALCA	Calcitonin
calcb	CALCB	Calcitonin gene-related peptide 2
calcoco1	CALCOCO1	Calcium-binding and coiled-coil domain-containing protein 1
calcoco2	CALCOCO2	Calcium-binding and coiled-coil domain-containing protein 2
caly	CALY	Neuron-specific vesicular protein calcyon
camkk1	CAMKK1	Calcium/calmodulin-dependent protein kinase kinase 1
camlg	CAMLG	Guided entry of tail-anchored proteins factor CAMLG
camsap1	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1
cant1	CANT1	Soluble calcium-activated nucleotidase 1
capg	CAPG	Macrophage-capping protein
capn3	CAPN3	Calpain-3
caps	CAPS	Calcyphosin
carhsp1	CARHSP1	Calcium-regulated heat-stable protein 1
casc3	CASC3	Protein CASC3
casp1	CASP1	Caspase-1
casp10	CASP10	Caspase-10
casp2	CASP2	Caspase-2
casp3	CASP3	Caspase-3
casp4	CASP4	Caspase-4
casp7	CASP7	Caspase-7
casp8	CASP8	Caspase-8
casp9	CASP9	Caspase-9
casq2	CASQ2	Calsequestrin-2
cat	CAT	Catalase
cblif	CBLIF	Cobalamin binding intrinsic factor
cbln1	CBLN1	Cerebellin-1
cbln4	CBLN4	Cerebellin-4
cbs	CBS	Cystathionine beta-synthase
cbx2	CBX2	Chromobox protein homolog 2
cc2d1a	CC2D1A	Coiled-coil and C2 domain-containing protein 1A
ccar2	CCAR2	Cell cycle and apoptosis regulator protein 2
ccdc134	CCDC134	Coiled-coil domain-containing protein 134
ccdc28a	CCDC28A	Coiled-coil domain-containing protein 28A
ccdc50	CCDC50	Coiled-coil domain-containing protein 50
ccdc80	CCDC80	Coiled-coil domain-containing protein 80
ccer2	CCER2	Coiled-coil domain-containing glutamate-rich protein 2
ccl11	CCL11	Eotaxin
ccl13	CCL13	C-C motif chemokine 13
ccl14	CCL14	C-C motif chemokine 14
ccl15	CCL15	C-C motif chemokine 15
ccl16	CCL16	C-C motif chemokine 16
ccl17	CCL17	C-C motif chemokine 17
ccl18	CCL18	C-C motif chemokine 18
ccl19	CCL19	C-C motif chemokine 19
ccl2	CCL2	C-C motif chemokine 2
ccl20	CCL20	C-C motif chemokine 20
ccl21	CCL21	C-C motif chemokine 21
ccl22	CCL22	C-C motif chemokine 22
ccl23	CCL23	C-C motif chemokine 23
ccl24	CCL24	C-C motif chemokine 24
ccl25	CCL25	C-C motif chemokine 25
ccl26	CCL26	C-C motif chemokine 26
ccl27	CCL27	C-C motif chemokine 27
ccl28	CCL28	C-C motif chemokine 28
ccl3	CCL3	C-C motif chemokine 3
ccl4	CCL4	C-C motif chemokine 4
ccl5	CCL5	C-C motif chemokine 5
ccl7	CCL7	C-C motif chemokine 7
ccl8	CCL8	C-C motif chemokine 8
ccn1	CCN1	CCN family member 1
ccn2	CCN2	CCN family member 2
ccn3	CCN3	CCN family member 3
ccn4	CCN4	CCN family member 4
ccn5	CCN5	CCN family member 5
ccnd2	CCND2	G1/S-specific cyclin-D2
ccne1	CCNE1	G1/S-specific cyclin-E1
ccs	CCS	Copper chaperone for superoxide dismutase
cct5	CCT5	T-complex protein 1 subunit epsilon
cd101	CD101	Immunoglobulin superfamily member 2
cd109	CD109	CD109 antigen
cd14	CD14	Monocyte differentiation antigen CD14
cd160	CD160	CD160 antigen
cd163	CD163	Scavenger receptor cysteine-rich type 1 protein M130
cd164	CD164	Sialomucin core protein 24
cd164l2	CD164L2	CD164 sialomucin-like 2 protein
cd177	CD177	CD177 antigen
cd1c	CD1C	T-cell surface glycoprotein CD1c
cd2	CD2	T-cell surface antigen CD2
cd200	CD200	OX-2 membrane glycoprotein
cd200r1	CD200R1	Cell surface glycoprotein CD200 receptor 1
cd207	CD207	C-type lectin domain family 4 member K
cd209	CD209	CD209 antigen
cd22	CD22	B-cell receptor CD22
cd226	CD226	CD226 antigen
cd244	CD244	Natural killer cell receptor 2B4
cd248	CD248	Endosialin
cd27	CD27	CD27 antigen
cd274	CD274	Programmed cell death 1 ligand 1
cd276	CD276	CD276 antigen
cd28	CD28	T-cell-specific surface glycoprotein CD28
cd2ap	CD2AP	CD2-associated protein
cd300a	CD300A	CMRF35-like molecule 8
cd300c	CD300C	CMRF35-like molecule 6
cd300e	CD300E	CMRF35-like molecule 2
cd300lf	CD300LF	CMRF35-like molecule 1
cd300lg	CD300LG	CMRF35-like molecule 9
cd302	CD302	CD302 antigen
cd33	CD33	Myeloid cell surface antigen CD33
cd34	CD34	Hematopoietic progenitor cell antigen CD34
cd36	CD36	Platelet glycoprotein 4
cd38	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
cd3d	CD3D	T-cell surface glycoprotein CD3 delta chain
cd3e	CD3E	T-cell surface glycoprotein CD3 epsilon chain
cd3g	CD3G	T-cell surface glycoprotein CD3 gamma chain
cd4	CD4	T-cell surface glycoprotein CD4
cd40	CD40	Tumor necrosis factor receptor superfamily member 5
cd40lg	CD40LG	CD40 ligand
cd46	CD46	Membrane cofactor protein
cd48	CD48	CD48 antigen
cd5	CD5	T-cell surface glycoprotein CD5
cd55	CD55	Complement decay-accelerating factor
cd58	CD58	Lymphocyte function-associated antigen 3
cd59	CD59	CD59 glycoprotein
cd5l	CD5L	CD5 antigen-like
cd6	CD6	T-cell differentiation antigen CD6
cd63	CD63	CD63 antigen
cd69	CD69	Early activation antigen CD69
cd7	CD7	T-cell antigen CD7
cd70	CD70	CD70 antigen
cd72	CD72	B-cell differentiation antigen CD72
cd74	CD74	HLA class II histocompatibility antigen gamma chain
cd79b	CD79B	B-cell antigen receptor complex-associated protein beta chain
cd80	CD80	T-lymphocyte activation antigen CD80
cd82	CD82	CD82 antigen
cd83	CD83	CD83 antigen
cd84	CD84	SLAM family member 5
cd86	CD86	T-lymphocyte activation antigen CD86
cd8a	CD8A	T-cell surface glycoprotein CD8 alpha chain
cd93	CD93	Complement component C1q receptor
cd99	CD99	CD99 antigen
cd99l2	CD99L2	CD99 antigen-like protein 2
cda	CDA	Cytidine deaminase
cdan1	CDAN1	Codanin-1
cdc123	CDC123	Cell division cycle protein 123 homolog
cdc25a	CDC25A	M-phase inducer phosphatase 1
cdc26	CDC26	Anaphase-promoting complex subunit CDC26
cdc27	CDC27	Cell division cycle protein 27 homolog
cdc37	CDC37	Hsp90 co-chaperone Cdc37
cdc42bpb	CDC42BPB	Serine/threonine-protein kinase MRCK beta
cdcp1	CDCP1	CUB domain-containing protein 1
cdh1	CDH1	Cadherin-1
cdh15	CDH15	Cadherin-15
cdh17	CDH17	Cadherin-17
cdh2	CDH2	Cadherin-2
cdh22	CDH22	Cadherin-22
cdh23	CDH23	Cadherin-23
cdh3	CDH3	Cadherin-3
cdh4	CDH4	Cadherin-4
cdh5	CDH5	Cadherin-5
cdh6	CDH6	Cadherin-6
cdhr1	CDHR1	Cadherin-related family member 1
cdhr2	CDHR2	Cadherin-related family member 2
cdhr5	CDHR5	Cadherin-related family member 5
cdk1	CDK1	Cyclin-dependent kinase 1
cdk5rap3	CDK5RAP3	CDK5 regulatory subunit-associated protein 3
cdkl5	CDKL5	Cyclin-dependent kinase-like 5
cdkn1a	CDKN1A	Cyclin-dependent kinase inhibitor 1
cdkn2d	CDKN2D	Cyclin-dependent kinase 4 inhibitor D
cdnf	CDNF	Cerebral dopamine neurotrophic factor
cdon	CDON	Cell adhesion molecule-related/down-regulated by oncogenes
cdsn	CDSN	Corneodesmosin
ceacam1	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1
ceacam16	CEACAM16	Carcinoembryonic antigen-related cell adhesion molecule 16
ceacam18	CEACAM18	Carcinoembryonic antigen-related cell adhesion molecule 18
ceacam19	CEACAM19	Carcinoembryonic antigen-related cell adhesion molecule 19
ceacam20	CEACAM20	Carcinoembryonic antigen-related cell adhesion molecule 20
ceacam21	CEACAM21	Carcinoembryonic antigen-related cell adhesion molecule 21
ceacam3	CEACAM3	Carcinoembryonic antigen-related cell adhesion molecule 3
ceacam5	CEACAM5	Carcinoembryonic antigen-related cell adhesion molecule 5
ceacam6	CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6
ceacam8	CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 8
cebpa	CEBPA	CCAAT/enhancer-binding protein alpha
cebpb	CEBPB	CCAAT/enhancer-binding protein beta
cela2a	CELA2A	Chymotrypsin-like elastase family member 2A
cela3a	CELA3A	Chymotrypsin-like elastase family member 3A
celsr2	CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2
cemip2	CEMIP2	Cell surface hyaluronidase
cend1	CEND1	Cell cycle exit and neuronal differentiation protein 1
cenpf	CENPF	Centromere protein F
cenpj	CENPJ	Centromere protein J
cep112	CEP112	Centrosomal protein of 112 kDa
cep152	CEP152	Centrosomal protein of 152 kDa
cep164	CEP164	Centrosomal protein of 164 kDa
cep170	CEP170	Centrosomal protein of 170 kDa
cep20	CEP20	Centrosomal protein 20
cep290	CEP290	Centrosomal protein of 290 kDa
cep350	CEP350	Centrosome-associated protein 350
cep43	CEP43	Centrosomal protein 43
cep85	CEP85	Centrosomal protein of 85 kDa
cert	CERT	Ceramide transfer protein
ces1	CES1	Liver carboxylesterase 1
ces2	CES2	Cocaine esterase
ces3	CES3	Carboxylesterase 3
cetn2	CETN2	Centrin-2
cetn3	CETN3	Centrin-3
cfb	CFB	Complement factor B
cfc1	CFC1	Cryptic protein
cfd	CFD	Complement factor D
cfh	CFH	Complement factor H
cfhr2	CFHR2	Complement factor H-related protein 2
cfhr4	CFHR4	Complement factor H-related protein 4
cfhr5	CFHR5	Complement factor H-related protein 5
